epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,54504.3,0.91325,0.34148,1.01516,0.99946,0.999,0.99451,0.85195,0.72868,0.2305,0.92706,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,55613.6,0.91243,0.34143,1.01291,0.99946,0.999,0.99451,0.85186,0.72959,0.22984,0.92797,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,56736.7,0.91194,0.33822,1.00366,0.99945,0.999,0.99451,0.85256,0.72877,0.22943,0.9269,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,57885.6,0.911,0.33937,1.01072,0.99945,0.999,0.99451,0.85292,0.72768,0.22935,0.92754,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,59022.5,0.90926,0.33704,1.00514,0.99945,0.999,0.99451,0.85394,0.72703,0.22906,0.92679,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,60135.4,0.90857,0.3364,1.00488,0.99945,0.999,0.99451,0.85399,0.72567,0.22942,0.92608,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,61264.6,0.90774,0.33633,1.00133,0.99944,0.999,0.99451,0.85364,0.72451,0.22896,0.92489,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,62397.7,0.90657,0.33661,1.00664,0.99944,0.999,0.99451,0.85458,0.7237,0.22808,0.92452,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,63532.6,0.9067,0.3366,1.01127,0.99944,0.999,0.99451,0.85339,0.7225,0.22709,0.92441,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,64646.6,0.90544,0.33345,0.99972,0.99944,0.999,0.99451,0.85423,0.72116,0.22722,0.92317,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,65773.7,0.90552,0.33379,0.99436,0.99944,0.999,0.99451,0.85459,0.71977,0.22619,0.92077,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,66917.3,0.90428,0.33277,0.99556,0.99944,0.999,0.99451,0.8544,0.71987,0.22598,0.91967,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,68046.8,0.90294,0.33126,1.00514,0.99945,0.999,0.99451,0.85446,0.71895,0.22523,0.92013,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,69160,0.90332,0.32897,0.99774,0.99945,0.999,0.99451,0.85558,0.71713,0.22469,0.91885,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,70293,0.90178,0.33031,1.00174,0.99946,0.999,0.99451,0.85514,0.7169,0.2244,0.91871,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,71434,0.90405,0.32894,0.99798,0.99946,0.999,0.99451,0.85592,0.71788,0.2256,0.91864,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,72593.8,0.90186,0.32884,0.99574,0.99945,0.999,0.99451,0.85543,0.71896,0.22576,0.91813,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,73707,0.90089,0.32803,1.00403,0.99945,0.999,0.99451,0.85574,0.71943,0.22564,0.9191,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,74844.5,0.90207,0.32792,1.00818,0.99946,0.999,0.99451,0.85588,0.71975,0.22531,0.91992,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,75987.8,0.90166,0.32648,0.99518,0.99946,0.999,0.99451,0.85583,0.71921,0.22497,0.91886,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,77115.8,0.8983,0.32545,0.99944,0.99948,0.999,0.99451,0.85482,0.71922,0.22565,0.91936,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,78224.9,0.89877,0.32544,1.00545,0.99947,0.999,0.99452,0.85634,0.71841,0.22473,0.91998,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,79365.6,0.89767,0.32192,0.99341,0.9995,0.99896,0.99452,0.85648,0.71763,0.22461,0.91956,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,80498.8,0.89693,0.32123,0.99566,0.999,0.99943,0.99452,0.85739,0.71658,0.22394,0.91844,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,81625,0.89792,0.32178,0.99082,0.999,0.99943,0.99452,0.85717,0.71603,0.22408,0.91798,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,82737,0.89642,0.3206,0.98943,0.9995,0.99895,0.99452,0.85684,0.71611,0.22413,0.91751,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,83869.1,0.89739,0.31951,0.99057,0.9995,0.99899,0.99453,0.85754,0.71595,0.22413,0.91706,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,85006,0.89539,0.31886,1.00122,0.9995,0.99897,0.99452,0.85767,0.71564,0.22427,0.91797,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,86122.8,0.89245,0.31683,0.98602,0.9995,0.999,0.99452,0.85726,0.71527,0.2244,0.91698,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,87239.1,0.89104,0.3156,0.98169,0.99949,0.999,0.99452,0.85736,0.71575,0.22348,0.91546,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,88400,0.89183,0.3155,0.98442,0.9995,0.999,0.99452,0.85779,0.71632,0.22374,0.91518,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,89547.1,0.88925,0.3131,0.98359,0.9995,0.99899,0.99452,0.85774,0.71587,0.22384,0.91443,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,90679.4,0.89048,0.31365,0.98572,0.9995,0.99898,0.99452,0.85767,0.71597,0.22396,0.91365,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,91805.1,0.88812,0.31224,0.98909,0.9995,0.99899,0.99452,0.85802,0.71478,0.22349,0.91294,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,92935.3,0.88776,0.31069,0.98625,0.9995,0.999,0.99452,0.85651,0.71416,0.2233,0.91264,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,94076.9,0.88552,0.30952,0.98404,0.9995,0.99899,0.99452,0.84933,0.71428,0.22338,0.91205,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,95195.2,0.88569,0.30735,0.98453,0.9995,0.99898,0.99451,0.85503,0.71615,0.22356,0.91236,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,96319.6,0.88485,0.3064,0.98374,0.9995,0.99897,0.99451,0.85689,0.71719,0.22339,0.91239,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,97458.1,0.88447,0.30455,0.98628,0.9995,0.99897,0.99452,0.85625,0.71796,0.22366,0.91267,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,98591.7,0.88157,0.30374,0.98255,0.9995,0.99897,0.99452,0.85696,0.71671,0.22327,0.91213,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,99712.1,0.87905,0.30097,0.97702,0.9995,0.99898,0.99452,0.85699,0.71617,0.22338,0.91045,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,100861,0.88014,0.30019,0.98792,0.9995,0.99898,0.99452,0.85666,0.71475,0.22359,0.91007,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,103432,0.87806,0.29862,0.98345,0.9995,0.99898,0.99452,0.85698,0.71371,0.22298,0.90953,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,105698,0.87116,0.27361,0.98176,0.9995,0.99898,0.99452,0.85789,0.71346,0.22244,0.90918,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,106842,0.86967,0.27426,0.98186,0.9995,0.99897,0.99452,0.85799,0.71138,0.22199,0.90854,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,107934,0.86728,0.27011,0.9828,0.9995,0.99897,0.99452,0.85829,0.70777,0.22138,0.90737,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,109050,0.86534,0.26816,0.98054,0.9995,0.99897,0.99453,0.86029,0.70466,0.22074,0.90663,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,110177,0.86374,0.26578,0.97734,0.9995,0.99897,0.99452,0.86029,0.70266,0.22002,0.90601,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,111283,0.86215,0.26514,0.97861,0.9995,0.99898,0.99452,0.86035,0.70174,0.22026,0.90569,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,112378,0.86008,0.26223,0.97616,0.9995,0.99896,0.99452,0.86017,0.69979,0.22001,0.90526,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,113619,0.85737,0.25801,0.97503,0.9995,0.99895,0.99452,0.86116,0.6994,0.22012,0.90489,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,116163,0.85615,0.25546,0.97634,0.9995,0.99894,0.99452,0.86085,0.69889,0.22016,0.90481,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,118796,0.85458,0.25257,0.97289,0.9995,0.99892,0.99452,0.86128,0.69865,0.21995,0.90475,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
