epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,77359,0.7699,0.31837,0.96277,0.9985,0.99946,0.99451,0.85396,0.71661,0.22512,0.91391,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,78961,0.76996,0.3179,0.96423,0.9985,0.99945,0.99452,0.85368,0.71651,0.22557,0.91418,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,80568.2,0.76883,0.31843,0.96529,0.9985,0.99945,0.99451,0.85304,0.71785,0.22581,0.91598,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,82162.8,0.76742,0.31667,0.96419,0.9985,0.99945,0.99451,0.85322,0.71765,0.22584,0.91662,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,83765.3,0.76644,0.31641,0.96575,0.9985,0.99948,0.99451,0.85366,0.71669,0.22509,0.91681,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,85355.1,0.76538,0.3151,0.96141,0.9985,0.9995,0.99451,0.85319,0.71642,0.22471,0.91656,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,87628.9,0.76535,0.31399,0.96114,0.99847,0.9995,0.99452,0.85345,0.71645,0.22456,0.91573,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,92534.4,0.76277,0.31304,0.96101,0.999,0.99939,0.99452,0.85305,0.71573,0.22401,0.91555,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,95398.6,0.76268,0.31243,0.96175,0.999,0.99941,0.99451,0.85247,0.71715,0.22433,0.91629,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,96978.1,0.76271,0.3135,0.96528,0.99898,0.9995,0.99451,0.85171,0.71775,0.22444,0.91688,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,98556.7,0.76094,0.31194,0.96386,0.99894,0.9995,0.99449,0.85142,0.71843,0.22469,0.91703,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,100134,0.75929,0.3107,0.96096,0.999,0.99944,0.9945,0.85247,0.7171,0.22415,0.91633,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,101713,0.75977,0.3119,0.95928,0.99896,0.999,0.9945,0.85295,0.71498,0.22396,0.91446,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,103285,0.75896,0.31006,0.95867,0.99893,0.999,0.99451,0.85169,0.71706,0.22477,0.91415,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,104863,0.75639,0.30854,0.95923,0.99889,0.999,0.99451,0.85296,0.71567,0.22386,0.914,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,106437,0.7558,0.30831,0.96154,0.99845,0.999,0.99451,0.85264,0.71331,0.22362,0.91494,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,108013,0.75622,0.30696,0.95712,0.99848,0.999,0.99451,0.85198,0.71391,0.22366,0.91429,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
